,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,latitude,longitude,und_long,und_lat,underground_distance
1416,А101,developer,https://www.cian.ru/sale/flat/306747385/,Москва,sale,flat,8,9,2,43.4,8633828.0,,,9.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
1417,А101,developer,https://www.cian.ru/sale/flat/306746058/,Москва,sale,flat,10,19,2,37.0,8570681.0,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
1418,А101,developer,https://www.cian.ru/sale/flat/306747392/,Москва,sale,flat,7,19,2,41.5,8719292.0,,,9.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
1419,ФСК,developer,https://www.cian.ru/sale/flat/307015990/,Москва,sale,flat,2,15,2,36.3,8744397.0,,,к2,Солнцево,Движение. Говорово ЖК,,,37.39111111111111,55.64944444444444,
1420,Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280751097/,Москва,sale,flat,4,7,2,67.38,8759400.0,, Луговая,,Рассказовка,Эдельвейс,,,37.335277777777776,55.634166666666665,
1421,А101,developer,https://www.cian.ru/sale/flat/306748375/,Москва,sale,flat,7,19,2,40.7,8761200.0,,,5.1,Бунинская аллея,Бунинские Кварталы ЖК,,,37.51583333333333,55.53805555555556,
1422,А101,developer,https://www.cian.ru/sale/flat/306745846/,Москва,sale,flat,3,9,2,41.0,8871391.0,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
1423,А101,developer,https://www.cian.ru/sale/flat/306747125/,Москва,sale,flat,16,19,2,37.0,9188795.0,,,9.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
1424,А101,developer,https://www.cian.ru/sale/flat/306747870/,Москва,sale,flat,19,19,2,37.1,9147758.0,,,к2.3,Бунинская аллея,Бунинские Кварталы ЖК,,,37.51583333333333,55.53805555555556,
1425,А101,developer,https://www.cian.ru/sale/flat/306748362/,Москва,sale,flat,5,19,2,36.3,9180742.0,,,5.1,Бунинская аллея,Бунинские Кварталы ЖК,,,37.51583333333333,55.53805555555556,
1426,ФСК,developer,https://www.cian.ru/sale/flat/307016253/,Москва,sale,flat,2,15,2,40.83,9123911.0,,,к1,Румянцево,Движение. Говорово ЖК,,,37.441944444444445,55.63305555555556,
1427,Самолет,developer,https://www.cian.ru/sale/flat/307011416/,Москва,sale,flat,6,17,2,47.51,9189099.0,,,к12,Филатов Луг,Цветочные Поляны ЖК,,,37.40777777777778,55.60138888888889,
1428,А101,developer,https://www.cian.ru/sale/flat/306747964/,Москва,sale,flat,3,9,2,38.7,9218030.0,,,5.1,Бунинская аллея,Бунинские Кварталы ЖК,,,37.51583333333333,55.53805555555556,
1429,ФСК,developer,https://www.cian.ru/sale/flat/307015953/,Москва,sale,flat,2,15,2,39.54,9222311.0,,,к2,Солнцево,Движение. Говорово ЖК,,,37.39111111111111,55.64944444444444,
1430,А101,developer,https://www.cian.ru/sale/flat/306747781/,Москва,sale,flat,12,16,2,39.4,9328640.0,,,к1.2,Бунинская аллея,Бунинские Кварталы ЖК,,,37.51583333333333,55.53805555555556,
1431,А101,developer,https://www.cian.ru/sale/flat/306745829/,Москва,sale,flat,2,9,2,38.0,9299206.0,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
1432,Самолет,developer,https://www.cian.ru/sale/flat/307019565/,Москва,sale,flat,12,17,2,52.09,9255192.0,,,к4,Филатов Луг,Квартал Марьино ЖК,,,37.40777777777778,55.60138888888889,
1433,А101,developer,https://www.cian.ru/sale/flat/306745870/,Москва,sale,flat,8,17,2,47.4,9434750.0,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
1434,,,https://www.cian.ru/sale/flat/277241899/,Москва,sale,flat,2,7,2,63.93,9397710.0,,,к6,Рассказовка,Эдельвейс ЖК,,,37.335277777777776,55.634166666666665,
1435,Самолет,developer,https://www.cian.ru/sale/flat/307019552/,Москва,sale,flat,16,17,2,55.47,9421137.0,,,к4,Филатов Луг,Квартал Марьино ЖК,,,37.40777777777778,55.60138888888889,
1436,А101,developer,https://www.cian.ru/sale/flat/306748395/,Москва,sale,flat,3,19,2,48.8,9503937.0,,,5.1,Бунинская аллея,Бунинские Кварталы ЖК,,,37.51583333333333,55.53805555555556,
1437,А101,developer,https://www.cian.ru/sale/flat/306746849/,Москва,sale,flat,6,20,2,36.3,9503259.0,,,6.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
1438,А101,developer,https://www.cian.ru/sale/flat/306746500/,Москва,sale,flat,2,8,2,39.5,9466860.0,,,6.1,Улица Горчакова,Бунинские Кварталы ЖК,,,37.530833333333334,55.541666666666664,
